iter	Passed	Remaining
0	1	143
1	2	144
2	4	142
3	5	132
4	7	137
5	8	135
6	10	133
7	11	132
8	12	130
9	14	129
10	15	128
11	17	126
12	18	124
13	20	123
14	21	121
15	22	120
16	24	119
17	25	118
18	27	116
19	28	115
20	30	114
21	31	113
22	33	111
23	34	110
24	36	109
25	37	107
26	39	106
27	40	104
28	42	103
29	43	101
30	45	100
31	46	99
32	48	97
33	49	96
34	51	94
35	52	93
36	54	92
37	55	90
38	56	89
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	68
52	76	67
53	77	65
54	78	64
55	79	62
56	81	61
57	82	59
58	83	58
59	85	56
60	86	55
61	88	54
62	89	52
63	91	51
64	92	50
65	94	48
66	95	47
67	97	45
68	98	44
69	100	42
70	101	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	118	24
83	119	22
84	121	21
85	122	20
86	124	18
87	125	17
88	127	15
89	128	14
90	130	12
91	131	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	142	0
